"input_value","Program_Success_final","Organizational_Profit_final","Employee_Performance_final","Identity_Safety_final"
0,7.66447847183932,5.30994431884361,5.31778751311147,7.29106741675641
0.2,6.95995263861489,5.30695936900427,5.28837001853614,5.64973818165271
0.4,6.30998038458635,5.26522189677343,5.21398974610013,4.80212981112267
0.6,5.81101310009264,5.19384762426049,5.1288359832518,4.36727550963158
0.8,5.41963180653071,5.11672631803895,5.0555235373588,4.12036671381964
1,5.10361646541453,5.04927950537668,4.99934866162924,3.96878215783933
1.2,4.84811232515568,4.99616331255269,4.95816497268709,3.87451329553002
1.4,4.64441732355271,4.95639868822281,4.92840511770222,3.8205707886601
1.6,4.48563032935227,4.92733416232474,4.90704766354365,3.79849440445282
1.8,4.3658302888109,4.90640063706088,4.8919168207833,3.80346790133105
2,4.27996069528776,4.89159975618404,4.88151886981926,3.83237465428017
2.2,4.2237513510316,4.88149337909277,4.87482457635257,3.88305104388652
2.4,4.19363362295689,4.87506425945828,4.87110353338863,3.95399806316451
2.6,4.18666367875655,4.87158279578889,4.86981801399851,4.04425394884434
2.8,4.20045556789779,4.87051148071831,4.87055929215436,4.15332552511648
3,4.23312326560157,4.8714433006237,4.87300952666209,4.28114839471126
3.2,4.28323200633145,4.87406323040804,4.87691805256177,4.42806802554789
3.4,4.34975970812177,4.87812385570316,4.88208582224394,4.59483937587311
3.6,4.43206911783794,4.88342939279109,4.8883546950745,4.7826443732405
3.8,4.52989115161474,4.88982479803126,4.89559981789265,4.9931277104857
4,4.6433199956946,4.89718810854087,4.90372410875752,5.22845270115324
4.2,4.77282087214986,4.90542495261203,4.91265425311772,5.49138043656567
4.4,4.91925193373022,4.91446460142322,4.9223378442806,5.78537728434292
4.6,5.08390254013528,4.92425717886277,4.9327414381525,6.11475802127467
4.8,5.26855123717835,4.93477179545575,4.94384938586232,6.48487484726145
5,5.4755482109326,4.94599547112724,4.95566337702008,6.90236653171088
5.2,5.70792897920429,4.95793278342941,4.96820268279676,7.37548749854608
5.4,5.96614831146236,4.97060623651956,4.98150514011404,7.86351898075283
5.6,6.17284765785397,4.98405734613058,4.99562848310777,8.04838934469885
5.8,6.31670006808162,4.99833908994773,5.0106131726418,8.1287346314368
6,6.43719985402878,5.01341117540488,5.0262438215609,8.18514018860514
6.2,6.54532793242077,5.02894577507888,5.04193110417824,8.23352265154936
6.4,6.64269935898698,5.04439913295818,5.05708036254157,8.27769609372955
6.6,6.73041389468936,5.05930438198875,5.07139250078114,8.31902698566481
6.8,6.80994771433187,5.07343129822865,5.08483703832492,8.3581900342463
7,6.88273105287617,5.08675074647185,5.0975081831937,8.39559635462904
7.2,6.94996460184445,5.09933583114831,5.10952601101319,8.43154384551898
7.4,7.01262460253546,5.11128947614698,5.12099912862793,8.46627276849671
7.6,7.0715079724011,5.12271137405172,5.132018260285,8.49998476473473
7.8,7.12727001504483,5.13368835187608,5.14265868156417,8.53285007453154
8,7.18045154895756,5.14429383062102,5.1529833269692,8.56501184284909
8.2,7.23149943178192,5.15458954461598,5.16304503343197,8.59658983340267
8.4,7.28078299900862,5.16462735029871,5.17288813825082,8.62768387535665
8.6,7.32860755260028,5.17445073754404,5.18254974780754,8.65837697755104
8.8,7.37522549248788,5.18409608999955,5.1920608259336,8.68873805383419
9,7.42084550724612,5.19359376700803,5.20144714775881,8.71882425718672
9.2,7.4656401614941,5.20296904382029,5.21073013035355,8.74868295326303
9.4,7.50975216052488,5.21224292588117,5.21992754675055,8.77835337665429
9.6,7.5532995243017,5.2214328474249,5.22905413268925,8.80786801472563
9.8,7.59637986209272,5.2305532650767,5.23812209789459,8.83725376059459
10,7.63907390510753,5.23961615836026,5.24714155447116,8.86653287192863
