"input_value","Program_Success_final","Organizational_Profit_final","Employee_Performance_final","Identity_Safety_final"
0,5.03810749752505,4.99952190179422,4.99684029970182,4.92651690244493
0.2,4.79501124038307,4.98663265038633,4.96413143268085,4.39487115717967
0.4,4.4882779431771,4.94684888511858,4.90382128959753,4.03011357358552
0.6,4.23192533346461,4.89107723995765,4.84376752805392,3.81711224187578
0.8,4.0412622855121,4.83813905891261,4.79917373115474,3.70951051227065
1,3.90734917821258,4.79812640896573,4.77137857335611,3.67633662305739
1.2,3.82098886941087,4.77236873469102,4.75658206395083,3.69868343561353
1.4,3.77514302205356,4.75826321311527,4.75069662891108,3.76429970120185
1.6,3.76405608845565,4.75255915121546,4.75070226680397,3.8645824330391
1.8,3.78275353519522,4.75261276699153,4.75462903028505,3.99308411843139
2,3.8268865957646,4.75657818070381,4.76124188821719,4.14476355054788
2.2,3.8926724923773,4.76324502629481,4.76976454582573,4.31558393447222
2.4,3.97684469031473,4.77183284289256,4.77969631183032,4.50227138313953
2.6,4.07659980699972,4.78183286269995,4.79070205358177,4.70215113195438
2.8,4.18954329446251,4.79290426742552,4.80254822981333,4.91302664199042
3,4.31363699312921,4.80481057917945,4.81506570373874,5.13308646542655
3.2,4.44715054836528,4.81738156845176,4.8281277260675,5.36083119294191
3.4,4.58861767283337,4.83049041306043,4.84163653949935,5.59501566296891
3.6,4.7367975387841,4.84403977808753,4.85551497153905,5.83460295422999
3.8,4.89064115599073,4.85795311729918,4.86970098203228,6.07872752284416
4,5.04926236219629,4.87216907002727,4.88414400438141,6.32666546734504
4.2,5.21191295407335,4.88663772871804,4.89880240304047,6.57781038387777
4.4,5.37796146420049,4.90131806321339,4.91364164423214,6.83165363933863
4.6,5.5468751081123,4.91617607917371,4.928632935797,7.08776816529651
4.8,5.71820446388391,4.93118345628884,4.94375218571,7.34579508101619
5,5.89157049292334,4.94631651038261,4.95897918461586,7.60543260737038
5.2,6.06665355807891,4.96155538185816,4.9742969513689,7.86642684864904
5.4,6.22936630313935,4.97688338776202,4.98969119794387,8.03432821942918
5.6,6.35402281804695,4.99228604770916,5.00514751256131,8.1091300898306
5.8,6.45904784954968,5.00773752651963,5.02061276379527,8.16359500060881
6,6.55473825394037,5.02315904713834,5.03595313803058,8.21277736184715
6.2,6.64367338708296,5.03842290210808,5.05102876252104,8.25999268896483
6.4,6.72696725599477,5.05342278844351,5.06577929908672,8.30614023850313
6.6,6.80564384621847,5.06811752253823,5.08021846925664,8.35155533260352
6.8,6.88063379108737,5.08252053971637,5.09439234043578,8.39641380945667
7,6.95270557850197,5.09667115999528,5.10835076734984,8.44083395188311
7.2,7.02246994914007,5.1106137551126,5.12213690160963,8.48490558276286
7.4,7.09040877566734,5.12438846984682,5.13578570670398,8.52869979018359
7.6,7.15690266656906,5.13802880838008,5.14932510703536,8.57227336140372
7.8,7.22225267555228,5.15156193155121,5.16277739562379,8.61567165429579
8,7.28669707701957,5.16500964845476,5.17616038377109,8.65893082682619
8.2,7.35042449220334,5.17838941290403,5.18948829489252,8.70207965052283
8.4,7.41358424460028,5.19171516736288,5.20277247186032,8.74514098799552
8.6,7.47629455126288,5.20499803128746,5.21602194647011,8.78813298865716
8.8,7.5386490054915,5.21824685926694,5.22924390049376,8.83107005032433
9,7.60072170763291,5.23146869301488,5.24244403840492,8.87396358899326
9.2,7.66257132610636,5.2446691264989,5.25562688751862,8.91682265310344
9.4,7.72424431192673,5.25785259986739,5.26879603870855,8.95965441263855
9.6,7.78577744334594,5.27102263520566,5.28195433882297,9.00246454797743
9.8,7.84719984032283,5.28418202504041,5.29510404410082,9.04525755871094
10,7.90853455935143,5.29733298268609,5.30824694226509,9.08803700870641
